-10.000 10.000 -10.000
-10.000 8.000 -8.000
-8.000 6.000 -7.000
-7.000 5.000 -6.000
-5.000 4.000 -5.000
-3.000 3.000 -3.000
-3.000 1.000 -2.000
-3.000 1.000 -1.000
-1.000 -1.000 -1.000
0.000 -1.000 1.000
2.000 -3.000 3.000
2.000 -3.000 5.000
2.000 -5.000 6.000
3.000 -6.000 6.000
3.000 -7.000 7.000
3.000 -8.000 9.000
5.000 -9.000 11.000
6.000 -10.000 11.000
8.000 -12.000 13.000
10.000 -13.000 13.000
12.000 -14.000 14.000
14.000 -15.000 15.000
16.000 -16.000 16.000
17.000 -17.000 16.000
18.000 -19.000 17.000
20.000 -21.000 19.000
22.000 -21.000 20.000
24.000 -22.000 21.000
24.000 -24.000 21.000
24.000 -26.000 22.000
26.000 -28.000 24.000
26.000 -30.000 25.000
27.000 -32.000 26.000
29.000 -32.000 26.000
29.000 -33.000 28.000
31.000 -33.000 28.000
33.000 -33.000 28.000
34.000 -33.000 30.000
34.000 -34.000 31.000
34.000 -36.000 32.000
36.000 -37.000 33.000
36.000 -38.000 33.000
38.000 -38.000 35.000
38.000 -40.000 37.000
39.000 -41.000 38.000
40.000 -41.000 39.000
42.000 -41.000 41.000
44.000 -43.000 43.000
46.000 -45.000 44.000
47.000 -45.000 45.000
47.000 -46.000 45.000
48.000 -47.000 46.000
50.000 -47.000 47.000
52.000 -49.000 48.000
53.000 -49.000 50.000
55.000 -51.000 50.000
56.000 -52.000 52.000
57.000 -53.000 54.000
58.000 -54.000 56.000
58.000 -54.000 56.000
59.000 -54.000 57.000
60.000 -56.000 59.000
60.000 -57.000 60.000
62.000 -57.000 61.000
64.000 -59.000 63.000
66.000 -61.000 65.000
67.000 -62.000 66.000
67.000 -62.000 67.000
69.000 -63.000 67.000
71.000 -65.000 68.000
71.000 -66.000 69.000
72.000 -67.000 70.000
74.000 -68.000 72.000
74.000 -70.000 72.000
75.000 -71.000 72.000
76.000 -71.000 74.000
76.000 -73.000 75.000
76.000 -75.000 76.000
78.000 -75.000 76.000
78.000 -75.000 78.000
79.000 -75.000 80.000
81.000 -75.000 80.000
81.000 -77.000 82.000
81.000 -77.000 83.000
82.000 -79.000 83.000
83.000 -79.000 85.000
84.000 -81.000 86.000
86.000 -83.000 87.000
87.000 -85.000 89.000
88.000 -87.000 91.000
90.000 -87.000 92.000
91.000 -87.000 93.000
92.000 -88.000 93.000
92.000 -90.000 93.000
92.000 -90.000 95.000
92.000 -91.000 97.000
94.000 -91.000 99.000
95.000 -91.000 101.000
95.000 -92.000 102.000
97.000 -92.000 103.000
99.000 -94.000 104.000
99.000 -95.000 106.000
100.000 -97.000 106.000
102.000 -98.000 108.000
102.000 -99.000 108.000
102.000 -101.000 110.000
102.000 -103.000 112.000
102.000 -104.000 112.000
102.000 -105.000 113.000
103.000 -106.000 113.000
103.000 -106.000 113.000
105.000 -108.000 115.000
107.000 -108.000 116.000
107.000 -109.000 116.000
107.000 -110.000 117.000
108.000 -112.000 118.000
109.000 -112.000 119.000
110.000 -112.000 121.000
112.000 -112.000 122.000
113.000 -112.000 124.000
114.000 -112.000 124.000
116.000 -112.000 126.000
117.000 -114.000 127.000
117.000 -114.000 129.000
118.000 -115.000 129.000
118.000 -117.000 129.000
120.000 -118.000 129.000
121.000 -118.000 131.000
121.000 -120.000 133.000
122.000 -120.000 135.000
123.000 -122.000 135.000
125.000 -124.000 136.000
126.000 -125.000 137.000
128.000 -126.000 138.000
130.000 -126.000 138.000
